id,name,category,careerUrl
western-digital-india,Western Digital India,Global Tech / Product,https://jobs.westerndigital.com
cloud-software-group-citrix,Cloud Software Group (Citrix),Global Tech / Product,https://www.cloud.com/careers
red-hat-india,Red Hat India,Global Tech / Product,https://www.redhat.com/en/jobs
ge-india,GE India,Global Tech / Product,https://jobs.gecareers.com
flipkart,Flipkart,E-commerce / Internet / Startups,https://www.flipkartcareers.com
meesho,Meesho,E-commerce / Internet / Startups,https://careers.meesho.com
swiggy,Swiggy,E-commerce / Internet / Startups,https://careers.swiggy.com
zomato,Zomato,E-commerce / Internet / Startups,https://www.zomato.com/careers
paytm,Paytm,E-commerce / Internet / Startups,https://jobs.paytm.com
phonepe,PhonePe,E-commerce / Internet / Startups,https://www.phonepe.com/careers/
ola,Ola,E-commerce / Internet / Startups,https://www.olacabs.com/careers
zepto,Zepto,E-commerce / Internet / Startups,https://www.zeptonow.com/careers
byju-s,BYJU'S,E-commerce / Internet / Startups,https://byjus.com/careers/
unacademy,Unacademy,E-commerce / Internet / Startups,https://unacademy.com/careers
upgrad,upGrad,E-commerce / Internet / Startups,https://www.upgrad.com/careers/
nykaa,Nykaa,E-commerce / Internet / Startups,https://www.nykaa.com/careers
cred,CRED,E-commerce / Internet / Startups,https://careers.cred.club
razorpay,Razorpay,E-commerce / Internet / Startups,https://razorpay.com/jobs/
freshworks,Freshworks,E-commerce / Internet / Startups,https://www.freshworks.com/company/careers/
zoho-corporation,Zoho Corporation,E-commerce / Internet / Startups,https://www.zoho.com/careers.html
inmobi,InMobi,E-commerce / Internet / Startups,https://www.inmobi.com/careers
urban-company,Urban Company,E-commerce / Internet / Startups,https://careers.urbancompany.com
dream11,Dream11,E-commerce / Internet / Startups,https://www.dream11.com/careers
policybazaar,PolicyBazaar,E-commerce / Internet / Startups,https://www.policybazaar.com/careers/
lenskart,Lenskart,E-commerce / Internet / Startups,https://www.lenskart.com/careers
bigbasket,BigBasket,E-commerce / Internet / Startups,https://www.bigbasket.com/careers/
delhivery,Delhivery,E-commerce / Internet / Startups,https://www.delhivery.com/careers/
makemytrip,MakeMyTrip,E-commerce / Internet / Startups,https://careers.makemytrip.com
info-edge-naukri-com,Info Edge (Naukri.com),E-commerce / Internet / Startups,https://www.infoedge.in/careers
hdfc-bank,HDFC Bank,BFSI,https://www.hdfcbank.com/personal/about-us/careers
icici-bank,ICICI Bank,BFSI,https://www.icicibank.com/careers
axis-bank,Axis Bank,BFSI,https://www.axisbank.com/careers
state-bank-of-india-sbi,State Bank of India (SBI),BFSI,https://bank.sbi/web/careers
kotak-mahindra-bank,Kotak Mahindra Bank,BFSI,https://www.kotak.com/en/careers.html
bajaj-finserv,Bajaj Finserv,BFSI,https://www.bajajfinserv.in/careers
hdfc-life-insurance,HDFC Life Insurance,BFSI,https://www.hdfclife.com/careers
icici-prudential-life,ICICI Prudential Life,BFSI,https://www.iciciprulife.com/about-us/careers.html
indusind-bank,IndusInd Bank,BFSI,https://www.indusind.com/in/en/personal/careers.html
yes-bank,Yes Bank,BFSI,https://www.yesbank.in/careers
american-express-india,American Express India,BFSI,https://www.americanexpress.com/en-us/careers/
goldman-sachs-india,Goldman Sachs India,BFSI,https://www.goldmansachs.com/careers/
jpmorgan-chase-india,JPMorgan Chase India,BFSI,https://careers.jpmorgan.com
morgan-stanley-india,Morgan Stanley India,BFSI,https://www.morganstanley.com/careers
deutsche-bank-india,Deutsche Bank India,BFSI,https://careers.db.com
barclays-india,Barclays India,BFSI,https://home.barclays/careers/
citi-india,Citi India,BFSI,https://www.citigroup.com/global/careers
standard-chartered-india,Standard Chartered India,BFSI,https://www.sc.com/en/careers/
hsbc-india,HSBC India,BFSI,https://www.hsbc.com/careers
wells-fargo-india,Wells Fargo India,BFSI,https://www.wellsfargo.com/careers/
ubs-india,UBS India,BFSI,https://www.ubs.com/careers
nomura-india,Nomura India,BFSI,https://www.nomura.com/careers
state-street-india,State Street India,BFSI,https://www.statestreet.com/careers
northern-trust-india,Northern Trust India,BFSI,https://careers.northerntrust.com
blackrock-india,BlackRock India,BFSI,https://careers.blackrock.com
deloitte-india,Deloitte India,Consulting / Big 4,https://www2.deloitte.com/in/en/careers.html
pwc-india,PwC India,Consulting / Big 4,https://www.pwc.in/careers.html
ey-ernst-young-india,EY (Ernst & Young) India,Consulting / Big 4,https://www.ey.com/en_in/careers
kpmg-india,KPMG India,Consulting / Big 4,https://home.kpmg/in/en/home/careers.html
mckinsey-company-india,McKinsey & Company India,Consulting / Big 4,https://www.mckinsey.com/careers
boston-consulting-group-bcg,Boston Consulting Group (BCG),Consulting / Big 4,https://careers.bcg.com
bain-company-india,Bain & Company India,Consulting / Big 4,https://www.bain.com/careers/
genpact,Genpact,Consulting / Big 4,https://www.genpact.com/careers
wns-global-services,WNS Global Services,Consulting / Big 4,https://www.wns.com/careers
exl-service,EXL Service,Consulting / Big 4,https://www.exlservice.com/careers
tata-consulting-engineers,Tata Consulting Engineers,Consulting / Big 4,https://www.tce.co.in/careers
grant-thornton-india,Grant Thornton India,Consulting / Big 4,https://www.grantthornton.in/careers/
protiviti-india,Protiviti India,Consulting / Big 4,https://www.protiviti.com/IN-en/careers
alvarez-marsal-india,Alvarez & Marsal India,Consulting / Big 4,https://www.alvarezandmarsal.com/careers
publicis-sapient,Publicis Sapient,Consulting / Big 4,https://www.publicissapient.com/careers
tata-motors,Tata Motors,Manufacturing / Automotive / Core Engineering,https://www.tatamotors.com/careers/
mahindra-mahindra,Mahindra & Mahindra,Manufacturing / Automotive / Core Engineering,https://www.mahindra.com/careers
maruti-suzuki-india,Maruti Suzuki India,Manufacturing / Automotive / Core Engineering,https://www.marutisuzuki.com/corporate/careers
bajaj-auto,Bajaj Auto,Manufacturing / Automotive / Core Engineering,https://www.bajajauto.com/careers
hero-motocorp,Hero MotoCorp,Manufacturing / Automotive / Core Engineering,https://www.heromotocorp.com/en-in/about-us/careers.html
larsen-toubro-l-t,Larsen & Toubro (L&T),Manufacturing / Automotive / Core Engineering,https://www.larsentoubro.com/corporate/careers/
bharat-heavy-electricals-bhel,Bharat Heavy Electricals (BHEL),Manufacturing / Automotive / Core Engineering,https://www.bhel.com/careers
siemens-india,Siemens India,Manufacturing / Automotive / Core Engineering,https://new.siemens.com/in/en/company/jobs.html
abb-india,ABB India,Manufacturing / Automotive / Core Engineering,https://global.abb/group/en/careers
schneider-electric-india,Schneider Electric India,Manufacturing / Automotive / Core Engineering,https://www.se.com/in/en/about-us/careers/
honeywell-india,Honeywell India,Manufacturing / Automotive / Core Engineering,https://careers.honeywell.com
bosch-india,Bosch India,Manufacturing / Automotive / Core Engineering,https://www.bosch.in/careers/
continental-india,Continental India,Manufacturing / Automotive / Core Engineering,https://www.continental.com/en/career/
ashok-leyland,Ashok Leyland,Manufacturing / Automotive / Core Engineering,https://www.ashokleyland.com/careers
tvs-motor-company,TVS Motor Company,Manufacturing / Automotive / Core Engineering,https://www.tvsmotor.com/careers
eicher-motors-royal-enfield,Eicher Motors (Royal Enfield),Manufacturing / Automotive / Core Engineering,https://www.eichermotors.com/careers.aspx
jcb-india,JCB India,Manufacturing / Automotive / Core Engineering,https://www.jcb.com/en-gb/careers
cummins-india,Cummins India,Manufacturing / Automotive / Core Engineering,https://www.cummins.com/careers
caterpillar-india,Caterpillar India,Manufacturing / Automotive / Core Engineering,https://careers.caterpillar.com
thermax,Thermax,Manufacturing / Automotive / Core Engineering,https://www.thermaxglobal.com/careers/
godrej-boyce,Godrej & Boyce,Manufacturing / Automotive / Core Engineering,https://www.godrej.com/careers
havells-india,Havells India,Manufacturing / Automotive / Core Engineering,https://www.havells.com/en/about-us/careers.html
voltas,Voltas,Manufacturing / Automotive / Core Engineering,https://www.voltas.com/careers
blue-star,Blue Star,Manufacturing / Automotive / Core Engineering,https://www.bluestarindia.com/careers
tata-steel,Tata Steel,Manufacturing / Automotive / Core Engineering,https://www.tatasteel.com/careers/
hindustan-unilever-hul,Hindustan Unilever (HUL),FMCG / Consumer,https://www.hul.co.in/careers/
itc-limited,ITC Limited,FMCG / Consumer,https://www.itcportal.com/careers
nestl-india,Nestlé India,FMCG / Consumer,https://www.nestle.in/jobs
procter-gamble-p-g-india,Procter & Gamble (P&G) India,FMCG / Consumer,https://www.pgcareers.com
britannia-industries,Britannia Industries,FMCG / Consumer,https://britannia.co.in/careers
dabur-india,Dabur India,FMCG / Consumer,https://www.dabur.com/india/about-us/careers
marico,Marico,FMCG / Consumer,https://marico.com/india/careers
colgate-palmolive-india,Colgate-Palmolive India,FMCG / Consumer,https://www.colgatepalmolive.com/careers
pepsico-india,PepsiCo India,FMCG / Consumer,https://www.pepsicoindiajobs.com
coca-cola-india,Coca-Cola India,FMCG / Consumer,https://www.coca-colaindia.com/careers
godrej-consumer-products,Godrej Consumer Products,FMCG / Consumer,https://www.godrejcp.com/careers
emami,Emami,FMCG / Consumer,https://www.emamiltd.in/careers
patanjali-ayurved,Patanjali Ayurved,FMCG / Consumer,https://www.patanjaliayurved.org/careers
asian-paints,Asian Paints,FMCG / Consumer,https://www.asianpaints.com/careers.html
berger-paints,Berger Paints,FMCG / Consumer,https://www.bergerpaints.com/careers
sun-pharmaceutical,Sun Pharmaceutical,Pharma / Healthcare,https://sunpharma.com/careers/
dr-reddy-s-laboratories,Dr. Reddy's Laboratories,Pharma / Healthcare,https://www.drreddys.com/careers
cipla,Cipla,Pharma / Healthcare,https://www.cipla.com/careers
lupin,Lupin,Pharma / Healthcare,https://www.lupin.com/careers/
aurobindo-pharma,Aurobindo Pharma,Pharma / Healthcare,https://www.aurobindo.com/careers/
biocon,Biocon,Pharma / Healthcare,https://www.biocon.com/careers/
zydus-lifesciences,Zydus Lifesciences,Pharma / Healthcare,https://www.zyduslife.com/careers
divi-s-laboratories,Divi's Laboratories,Pharma / Healthcare,https://www.divislabs.com/careers.html
apollo-hospitals,Apollo Hospitals,Pharma / Healthcare,https://www.apollohospitals.com/careers
fortis-healthcare,Fortis Healthcare,Pharma / Healthcare,https://www.fortishealthcare.com/careers
max-healthcare,Max Healthcare,Pharma / Healthcare,https://www.maxhealthcare.in/careers
gsk-india,GSK India,Pharma / Healthcare,https://www.gsk.com/en-gb/careers/
pfizer-india,Pfizer India,Pharma / Healthcare,https://www.pfizer.com/about/careers
abbott-india,Abbott India,Pharma / Healthcare,https://www.abbott.com/careers.html
johnson-johnson-india,Johnson & Johnson India,Pharma / Healthcare,https://www.careers.jnj.com
reliance-jio,Reliance Jio,Telecom,https://www.jio.com/careers
bharti-airtel,Bharti Airtel,Telecom,https://www.airtel.in/careers
vodafone-idea,Vodafone Idea,Telecom,https://www.myvi.in/careers
nokia-india,Nokia India,Telecom,https://www.nokia.com/careers/
ericsson-india,Ericsson India,Telecom,https://www.ericsson.com/en/careers
indian-oil-corporation-iocl,Indian Oil Corporation (IOCL),PSU / Government,https://www.iocl.com/careers
oil-and-natural-gas-corporation-ongc,Oil and Natural Gas Corporation (ONGC),PSU / Government,https://ongcindia.com/web/eng/careers
bharat-petroleum-bpcl,Bharat Petroleum (BPCL),PSU / Government,https://www.bharatpetroleum.in/careers
ntpc-limited,NTPC Limited,PSU / Government,https://www.ntpc.co.in/careers
steel-authority-of-india-sail,Steel Authority of India (SAIL),PSU / Government,https://www.sail.co.in/en/careers
coal-india-limited,Coal India Limited,PSU / Government,https://www.coalindia.in/careers
power-grid-corporation-of-india,Power Grid Corporation of India,PSU / Government,https://www.powergrid.in/careers
hindustan-aeronautics-limited-hal,Hindustan Aeronautics Limited (HAL),PSU / Government,https://hal-india.co.in/careers
bharat-electronics-limited-bel,Bharat Electronics Limited (BEL),PSU / Government,https://bel-india.in/careers
indian-space-research-organisation-isro,Indian Space Research Organisation (ISRO),PSU / Government,https://www.isro.gov.in/Careers.html
defence-research-development-organisation-drdo,Defence Research & Development Organisation (DRDO),PSU / Government,https://www.drdo.gov.in/drdo/career
gail-india,GAIL India,PSU / Government,https://gailonline.com/careers.html
nhpc-limited,NHPC Limited,PSU / Government,https://www.nhpcindia.com/careers
rail-vikas-nigam-limited-rvnl,Rail Vikas Nigam Limited (RVNL),PSU / Government,https://rvnl.org/careers
railway-recruitment-boards-rrb,Railway Recruitment Boards (RRB),PSU / Government,https://www.rrbcdg.gov.in
target-india-gcc,Target India (GCC),GCC / Analytics,https://india.target.com/careers
walmart-global-tech-india,Walmart Global Tech India,GCC / Analytics,https://tech.walmart.com/careers/
opentext-micro-focus-india,OpenText (Micro Focus) India,GCC / Analytics,https://careers.opentext.com
epam-systems-india,EPAM Systems India,GCC / Analytics,https://www.epam.com/careers
barclays-gsc-india,Barclays GSC India,GCC / Analytics,https://home.barclays/careers/
societe-generale-global-solution-centre,Societe Generale Global Solution Centre,GCC / Analytics,https://careers.societegenerale.com
wells-fargo-india-solutions,Wells Fargo India Solutions,GCC / Analytics,https://www.wellsfargo.com/careers/
fidelity-international-india,Fidelity International India,GCC / Analytics,https://careers.fidelityinternational.com
optum-unitedhealth-group-india,Optum / UnitedHealth Group India,GCC / Analytics,https://careers.unitedhealthgroup.com
philips-innovation-campus-india,Philips Innovation Campus India,GCC / Analytics,https://www.philips.co.in/a-w/careers.html
